DATASET PUTUSAN NARKOTIKA - SULPEMI HI. KADER

1/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Ricky Noviyanto; 35 Tahun; Sabu; 1.03 gram
2/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Andi Saputra; 28 Tahun; Sabu; 0.75 gram
3/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Budi Santoso; 30 Tahun; Ganja; 15 gram
4/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Dedi Pratama; 27 Tahun; Sabu; 2.10 gram
5/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Fajar Hidayat; 31 Tahun; Ekstasi; 120 butir
6/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Rudi Hartono; 25 Tahun; Sabu; 0.56 gram
7/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Muhammad Rizki; 29 Tahun; Ganja; 20 gram
8/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Agus Salim; 33 Tahun; Sabu; 1.25 gram
9/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Arif Rahman; 22 Tahun; Sabu; 0.80 gram
10/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Wahyu Setiawan; 26 Tahun; Ekstasi; 50 butir
11/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Ilham Saputra; 24 Tahun; Sabu; 3.10 gram
12/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Imam Hidayat; 35 Tahun; Ganja; 10 gram
13/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Reza Pratama; 21 Tahun; Sabu; 0.40 gram
14/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Yogi Firmansyah; 30 Tahun; Sabu; 1.75 gram
15/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Taufik Hidayat; 28 Tahun; Ekstasi; 75 butir
16/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Ahmad Fauzi; 32 Tahun; Sabu; 2.20 gram
17/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Dimas Saputra; 27 Tahun; Ganja; 18 gram
18/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Aldi Prakoso; 23 Tahun; Sabu; 0.90 gram
19/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Bagus Nugroho; 34 Tahun; Sabu; 4.50 gram
20/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Farhan Akbar; 25 Tahun; Ekstasi; 90 butir
21/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Rizal Maulana; 29 Tahun; Sabu; 1.12 gram
22/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Yoga Prasetyo; 31 Tahun; Ganja; 25 gram
23/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Heri Kurniawan; 24 Tahun; Sabu; 0.63 gram
24/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Joko Santoso; 37 Tahun; Sabu; 3.85 gram
25/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Eko Setiawan; 26 Tahun; Ekstasi; 110 butir
26/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Rian Saputra; 22 Tahun; Sabu; 0.45 gram
27/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Doni Firmansyah; 33 Tahun; Ganja; 30 gram
28/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Adi Nugraha; 28 Tahun; Sabu; 1.67 gram
29/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Putra Ramadhan; 27 Tahun; Sabu; 2.35 gram
30/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Bima Prakoso; 35 Tahun; Ekstasi; 65 butir
31/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Hendra Wijaya; 29 Tahun; Sabu; 1.94 gram
32/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Raka Saputra; 24 Tahun; Ganja; 14 gram
33/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Fikri Maulana; 26 Tahun; Sabu; 0.82 gram
34/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Andika Putra; 30 Tahun; Sabu; 2.75 gram
35/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Rio Kurniawan; 32 Tahun; Ekstasi; 150 butir
36/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Akbar Hidayat; 21 Tahun; Sabu; 0.35 gram
37/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; M. Iqbal; 25 Tahun; Ganja; 12 gram
38/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Syahrul Ramadhan; 34 Tahun; Sabu; 5.20 gram
39/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Fajar Nugroho; 27 Tahun; Sabu; 1.44 gram
40/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Rehan Prasetya; 23 Tahun; Ekstasi; 80 butir
41/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Dwi Saputra; 28 Tahun; Sabu; 2.05 gram
42/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Nanda Pratama; 31 Tahun; Ganja; 17 gram
43/Pid.Sus/2024/PN Sby; Pengadilan Negeri Surabaya; Arga Maulana; 24 Tahun; Sabu; 0.58 gram
